location_id,name,rate,review_count,city,region_jp,region_en,address,latitude,longitude,href,surrounding,attraction
125,富岩運河環水公園,45,582,北陸地方,中部地方,Chubo,"""湊入船町, 富山県富山市""",36.7083199,137.2147539,https://www.tripadvisor.jp/Attraction_Review-g298126-d2700715-Reviews-Fugan_Unga_Kansui_Park-Toyama_Toyama_Prefecture_Hokuriku_Chubu.html#REVIEWS,city,park
41,万博記念公園,45,579,大阪府,近畿地方,Kinki,"""千里万博公園1-1, 大阪府吹田市""",34.8046044,135.5318113,https://www.tripadvisor.jp/Attraction_Review-g1023474-d1407321-Reviews-Expo_70_Commemorative_Park-Suita_Osaka_Prefecture_Kinki.html#REVIEWS,city,garden
194,弘前公園（鷹揚公園）,45,567,青森県,東北地方,Tohoku,"""下白銀町1, 青森県弘前市""",40.6094704,140.4675562,https://www.tripadvisor.jp/Attraction_Review-g303161-d1385336-Reviews-Hirosaki_Park-Hirosaki_Aomori_Prefecture_Tohoku.html#REVIEWS,country,castle
325,八芳園,45,551,東京都,関東地方,Kanto,"""1-1-1, 東京都白金台""",35.6387581,139.725607,https://www.tripadvisor.jp/Attraction_Review-g14131029-d504482-Reviews-Happo_en_Garden-Shirokanedai_Minato_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,city,garden
20,浜松城,35,549,東海地方,近畿地方,Kinki,"""中区元城町100-2, 静岡県浜松市""",34.7132278,137.7262872,https://www.tripadvisor.jp/Attraction_Review-g303148-d1313765-Reviews-Hamamatsu_Castle-Hamamatsu_Shizuoka_Prefecture_Tokai_Chubu.html#REVIEWS,country,castle
25,造幣博物館,45,543,大阪府,近畿地方,Kinki,"""北区天満1-1-79, 大阪市""",34.6965482,135.5210479,https://www.tripadvisor.jp/Attraction_Review-g298566-d1407249-Reviews-Mint_Museum-Osaka_Osaka_Prefecture_Kinki.html#REVIEWS,country,garden
308,中之島公園,40,542,大阪府,近畿地方,Kinki,"""北区中之島1, 大阪市""",34.6930796,135.5054551,https://www.tripadvisor.jp/Attraction_Review-g298566-d324825-Reviews-Nakanoshima_Park-Osaka_Osaka_Prefecture_Kinki.html#REVIEWS,city,garden
517,成田山公園,45,533,千葉県,関東地方,Kanto,"""成田1, 千葉県成田市""",35.7854652,140.31791,https://www.tripadvisor.jp/Attraction_Review-g298161-d1314230-Reviews-Naritasan_Park-Narita_Chiba_Prefecture_Kanto.html#REVIEWS,city,shrine
275,上野東照宮,40,526,東京都,関東地方,Kanto,"""9-88, 東京都上野公園""",35.7154717,139.7740608,https://www.tripadvisor.jp/Attraction_Review-g14134278-d320867-Reviews-Toshogu_Shrine-Uenokoen_Taito_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,city,shrine
175,よこはま動物園ズーラシア,40,520,神奈川県,関東地方,Kanto,"""旭区上白根町1175-1　, 横浜市""",35.4953035,139.526349,https://www.tripadvisor.jp/Attraction_Review-g298173-d561517-Reviews-Yokohama_Zoo_Zoorasia-Yokohama_Kanagawa_Prefecture_Kanto.html#REVIEWS,country,park
295,エキスポシティ,40,502,大阪府,近畿地方,Kinki,"""千里万博公園2-1, 大阪府吹田市""",34.8058632,135.5351097,https://www.tripadvisor.jp/Attraction_Review-g1023474-d8827426-Reviews-Expocity-Suita_Osaka_Prefecture_Kinki.html#REVIEWS,city,
559,不忍池,40,498,東京都,関東地方,Kanto,"""5-20, 東京都上野公園""",35.7154717,139.7740608,https://www.tripadvisor.jp/Attraction_Review-g14134278-d3747622-Reviews-Shinobazu_Pond-Uenokoen_Taito_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,city,shrine
70,福岡城跡,35,480,福岡県,九州・沖縄地方,Kyushu - Okinawa,"""城内, 中央区""",33.5868971,130.3815658,https://www.tripadvisor.jp/Attraction_Review-g14127491-d1423817-Reviews-Fukuoka_Castle_Remains-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html#REVIEWS,city,castle
511,縄手通り商店街,35,472,甲信越,中部地方,Chubo,長野県松本市,36.2380434,137.9719897,https://www.tripadvisor.jp/Attraction_Review-g298118-d2299158-Reviews-Nawate_Shopping_District-Matsumoto_Nagano_Prefecture_Koshinetsu_Chubu.html#REVIEWS,country,
